Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Hyundai Santro D Lite,Chennai,2001,140000,Petrol,Manual,Third,20.3 kmpl,1086 CC,68 bhp,5,4.55 Lakh,0.7
Maruti Wagon R VXI,Mumbai,2010,38000,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5,5.61 Lakh,1.75
Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0 kmpl,1396 CC,88.76 bhp,5,10.73 Lakh,1.9
Porsche Cayenne Base,Kochi,2019,14298,Petrol,Automatic,First,13.33 kmpl,2995 CC,340 bhp,5,1.36 Cr,2.02
Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45 kmpl,1984 CC,227 bhp,5,28.37 Lakh,2.05
Maruti Alto K10 VXI,Pune,2014,17000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.48 Lakh,2.1
Maruti Alto K10 VXI,Chennai,2011,28300,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.5 Lakh,2.15
Maruti Eeco 7 Seater Standard,Delhi,2016,126000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.43 Lakh,2.2
Datsun redi-GO T,Kolkata,2016,15000,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,3.98 Lakh,2.25
Maruti Eeco 7 Seater Standard,Pune,2011,45000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.69 Lakh,2.25
Hyundai Grand i10 1.2 Kappa Magna,Pune,2010,45252,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.8 Lakh,2.25
Maruti Dzire LDI,Pune,2012,150000,Diesel,Manual,Third,28.4 kmpl,1248 CC,73.75 bhp,5,7.91 Lakh,2.25
Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.29 Lakh,2.3
Maruti Wagon R LXI,Mumbai,2010,37822,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,2.35
Maruti Wagon R LXI,Mumbai,2010,12000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,2.45
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.07 Lakh,2.5
Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,99 bhp,5,7.65 Lakh,2.5
Nissan Micra XV D,Chennai,2012,93450,Diesel,Manual,Second,23.19 kmpl,1461 CC,63.12 bhp,5,9.48 Lakh,2.5
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5,9.5 Lakh,2.5
Renault KWID RXL,Jaipur,2016,26000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,3.96 Lakh,2.55
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.07 Lakh,2.6
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh,2.6
Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.29 Lakh,2.65
Nissan Micra XV CVT,Kolkata,2011,44000,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,8.73 Lakh,2.65
Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,4.37 Lakh,2.66
Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.3 Lakh,2.7
Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5,4.59 Lakh,2.74
Datsun redi-GO S,Chennai,2016,26239,Petrol,Manual,First,22.7 kmpl,799 CC,53 bhp,5,4.43 Lakh,2.75
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.7 Lakh,2.75
Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,4.74 Lakh,2.75
Honda Brio 1.2 S Option MT,Delhi,2012,40315,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,5.92 Lakh,2.75
Maruti Wagon R VXI 1.2,Kolkata,2014,37000,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5,5.56 Lakh,2.8
Maruti Swift VXI,Pune,2010,68000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,6.99 Lakh,2.8
Maruti Wagon R CNG LXI,Mumbai,2014,47200,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.58 Lakh,2.85
Volkswagen Vento 1.5 TDI Highline,Chennai,2011,121311,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5,14.32 Lakh,2.9
Hyundai Verna CRDi 1.6 SX Option,Hyderabad,2008,109606,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.59 Lakh,2.9
Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.71 Lakh,2.9
Maruti Eeco 7 Seater Standard,Mumbai,2014,34670,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.71 Lakh,2.9
Maruti Alto K10 LXI,Kochi,2014,51349,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,3.91 Lakh,2.93
Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.83 Lakh,2.95
Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.54 Lakh,2.96
Renault KWID RXT Optional,Mumbai,2016,16000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.78 Lakh,2.99
Maruti Alto K10 LXI,Delhi,2016,35027,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,3.91 Lakh,3
Honda CR-V Petrol 2WD,Chennai,2004,135000,Petrol,Automatic,Third,14.4 kmpl,1997 CC,152 bhp,5,33.51 Lakh,3
Maruti Alto K10 VXI,Jaipur,2016,35000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.24 Lakh,3
Maruti Alto K10 LXI Optional,Pune,2016,7000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.36 Lakh,3
Renault KWID 1.0 RXT Optional,Jaipur,2016,26000,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.78 Lakh,3
Maruti Wagon R LXI,Kochi,2014,52431,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,4.59 Lakh,3.01
Maruti Wagon R CNG LXI,Mumbai,2013,54000,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.58 Lakh,3.05
Maruti Wagon R VXI 1.2,Mumbai,2015,55000,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5,5.88 Lakh,3.1
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03 kmpl,1461 CC,65 bhp,5,9.26 Lakh,3.1
Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.62 Lakh,3.13
Maruti Alto K10 VXI,Mumbai,2016,13198,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.82 Lakh,3.15
Honda Amaze S Petrol,Kolkata,2013,32576,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,5,7.36 Lakh,3.15
Maruti Wagon R VXI,Mumbai,2014,43628,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.61 Lakh,3.16
Maruti Alto K10 VXI,Coimbatore,2011,46808,Petrol,Manual,Second,24.07 kmpl,998 CC,67.1 bhp,5,4.7 Lakh,3.19
Maruti Alto K10 VXI,Jaipur,2016,51264,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.24 Lakh,3.2
Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5,5.57 Lakh,3.2
Honda Brio 1.2 VX MT,Delhi,2013,33746,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.63 Lakh,3.2
Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.7 Lakh,3.22
Volkswagen Vento 1.5 TDI Trendline,Mumbai,2011,47000,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5,11.3 Lakh,3.25
Volkswagen Vento 1.6 Highline,Mumbai,2011,38000,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,5,11.91 Lakh,3.25
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.78 Lakh,3.25
Maruti Alto K10 VXI,Mumbai,2017,12000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.82 Lakh,3.25
Maruti Wagon R LXI,Mumbai,2014,25422,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,3.25
Maruti Wagon R CNG LXI,Delhi,2014,74663,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.35 Lakh,3.25
Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,8.54 Lakh,3.25
Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,4.74 Lakh,3.3
Honda Amaze S Diesel,Kolkata,2013,46500,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,8.54 Lakh,3.3
Datsun redi-GO T Option,Coimbatore,2017,27509,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,4.04 Lakh,3.31
Maruti Wagon R LXI,Kochi,2011,15466,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,3.36
Volkswagen Vento 1.5 TDI Comfortline,Kolkata,2012,34000,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5,11.16 Lakh,3.4
Renault KWID RXL,Pune,2018,1000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.45 Lakh,3.4
Maruti Wagon R VXI,Kochi,2014,41994,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.12 Lakh,3.41
Maruti Wagon R VXI,Pune,2014,38958,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.56 Lakh,3.41
Maruti Wagon R VXI,Chennai,2014,52000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.51 Lakh,3.45
Renault KWID RXL,Kochi,2017,24214,Petrol,Manual,Second,25.17 kmpl,799 CC,53.3 bhp,5,3.95 Lakh,3.46
Maruti Alto K10 VXI,Kochi,2015,23876,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.09 Lakh,3.46
Datsun redi-GO T Option,Kochi,2018,30953,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,4.05 Lakh,3.48
Volkswagen Vento 1.6 Comfortline,Kolkata,2014,38000,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,5,10.94 Lakh,3.49
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2013,65000,Diesel,Manual,Second,20.14 kmpl,1498 CC,88 bhp,5,10.15 Lakh,3.5
Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,11.01 Lakh,3.5
Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 Lakh,3.5
Renault KWID RXT Optional,Pune,2018,5000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.9 Lakh,3.5
Maruti Wagon R VXI 1.2,Jaipur,2015,64876,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5,5.71 Lakh,3.5
Maruti Celerio VXI AMT,Chennai,2015,55000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,6 Lakh,3.5
Hyundai Xcent 1.2 CRDi S,Mumbai,2016,50000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,8.84 Lakh,3.5
Volkswagen Vento 1.6 Comfortline,Kochi,2012,60818,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,5,11.05 Lakh,3.59
Datsun redi-GO T Option,Kochi,2018,6279,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,4.05 Lakh,3.6
Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.33 Lakh,3.6
Maruti Wagon R VXI,Kolkata,2016,16956,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.29 Lakh,3.6
Tata Tiago 1.2 Revotron XT,Jaipur,2016,42700,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,5.61 Lakh,3.6
Volkswagen Polo 1.5 TDI Highline,Delhi,2012,68038,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5,9.96 Lakh,3.6
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.98 Lakh,3.61
Maruti Alto K10 VXI,Kochi,2018,46805,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.09 Lakh,3.63
Maruti Wagon R VXI AMT1.2,Mumbai,2015,26000,Petrol,Automatic,First,21.5 kmpl,1197 CC,81.80 bhp,5,6.43 Lakh,3.65
Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,8.27 Lakh,3.67
Maruti Alto K10 VXI,Kochi,2015,37929,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.09 Lakh,3.69
Renault KWID RXT Optional,Kochi,2017,21954,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.78 Lakh,3.7
Tata Bolt Quadrajet XE,Hyderabad,2016,100303,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,7.43 Lakh,3.7
Tata Zest Revotron 1.2T XM,Mumbai,2014,36000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,7.63 Lakh,3.7
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5,9.12 Lakh,3.7
Maruti Eeco CNG 5 Seater AC,Ahmedabad,2015,47001,CNG,Manual,First,20.0 km/kg,1196 CC,63 bhp,5,5.36 Lakh,3.72
Skoda Superb Style 1.8 TSI AT,Mumbai,2010,62004,Petrol,Automatic,Second,14.67 kmpl,1798 CC,177.46 bhp,5,33.36 Lakh,3.75
Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.48 Lakh,3.75
Maruti Eeco 7 Seater Standard,Chennai,2016,55000,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.87 Lakh,3.75
Maruti Celerio LXI MT,Kolkata,2018,30000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,4.87 Lakh,3.75
Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.98 Lakh,3.75
Toyota Etios Liva 1.2 G,Chennai,2011,42000,Petrol,Manual,Second,17.71 kmpl,1197 CC,78.9 bhp,5,6.51 Lakh,3.75
Tata Zest Quadrajet 1.3 75PS XE,Kolkata,2017,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,7.94 Lakh,3.75
Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,8.34 Lakh,3.75
Renault KWID RXL,Kochi,2019,7858,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.04 Lakh,3.8
Maruti Celerio VXI AMT,Kolkata,2016,30000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,5.77 Lakh,3.8
Maruti Celerio CNG VXI MT,Delhi,2015,64687,CNG,Manual,First,31.79 km/kg,998 CC,58.33 bhp,5,5.87 Lakh,3.8
Maruti Wagon R VXI,Jaipur,2017,35362,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.44 Lakh,3.85
Toyota Etios Liva 1.4 GD,Delhi,2013,84000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5,7.83 Lakh,3.85
Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,11.74 Lakh,3.87
Maruti Wagon R CNG LXI,Pune,2014,29202,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5,5.54 Lakh,3.9
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,6.41 Lakh,3.9
Tata Zest Revotron 1.2T XMS,Pune,2014,23500,Petrol,Manual,Second,17.57 kmpl,1193 CC,88.7 bhp,5,7.7 Lakh,3.9
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,5.13 Lakh,3.91
Maruti Celerio VXI AMT,Mumbai,2016,47691,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,6.08 Lakh,3.94
Maruti Wagon R VXI AMT,Kolkata,2017,17000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,5.8 Lakh,3.95
Honda Brio 1.2 S MT,Mumbai,2015,22000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.23 Lakh,3.95
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,6.45 Lakh,3.95
Honda Brio 1.2 VX MT,Kochi,2014,41460,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.63 Lakh,3.95
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,8.56 Lakh,3.95
Tata Tiago 1.2 Revotron XM Option,Chennai,2016,5400,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,5.45 Lakh,3.98
Nissan Sunny XV D,Chennai,2012,70000,Diesel,Manual,Second,22.71 kmpl,1461 CC,84.8 bhp,5,11.48 Lakh,4
Honda City i-VTEC V,Delhi,2011,67031,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,11.85 Lakh,4
Toyota Corolla Altis 1.8 G CVT,Delhi,2010,109703,Petrol,Automatic,Second,14.28 kmpl,1798 CC,138.03 bhp,5,20.46 Lakh,4
Maruti Alto K10 LXI CNG Optional,Kochi,2018,44202,CNG,Manual,First,32.26 km/kg,998 CC,58.2 bhp,4,4.66 Lakh,4
Nissan Micra Active XV,Pune,2018,24000,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5,6.99 Lakh,4
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,7.63 Lakh,4
Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,7.69 Lakh,4
Tata Bolt Revotron XT,Chennai,2016,10000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,7.77 Lakh,4
Maruti Dzire VDI,Hyderabad,2011,110000,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5,9.14 Lakh,4
Skoda Rapid 1.5 TDI Ambition,Mumbai,2012,54500,Diesel,Manual,First,21.13 kmpl,1498 CC,108.4 bhp,5,13.72 Lakh,4.1
Maruti Wagon R VXI 1.2,Kochi,2015,49818,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5,5.44 Lakh,4.11
Maruti Wagon R VXI AMT,Mumbai,2016,8000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,6.14 Lakh,4.15
Hyundai Xcent 1.2 CRDi S,Kolkata,2017,51000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,8.23 Lakh,4.2
Hyundai Verna VTVT 1.6 AT SX Plus,Mumbai,2012,75059,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,13.7 Lakh,4.25
Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.98 Lakh,4.25
Maruti Wagon R VXI AMT,Delhi,2016,30000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,5.68 Lakh,4.25
Nissan Micra Active XV,Ahmedabad,2016,41000,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5,6.78 Lakh,4.25
Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.83 Lakh,4.25
Hyundai Grand i10 1.2 CRDi Sportz,Delhi,2015,59261,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,8.18 Lakh,4.25
Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4 kmpl,1248 CC,73.75 bhp,5,8.94 Lakh,4.25
Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,Petrol,Automatic,First,22.5 kmpl,999 CC,67 bhp,5,5.42 Lakh,4.28
Renault KWID RXT Optional,Mumbai,2018,1617,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.78 Lakh,4.29
Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,10.32 Lakh,4.3
Maruti Eeco 7 Seater Standard,Coimbatore,2016,42225,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.98 Lakh,4.3
Maruti Celerio ZXI MT,Bangalore,2015,48808,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,6.05 Lakh,4.3
Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.82 Lakh,4.3
Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.72 Lakh,4.32
Hyundai Grand i10 1.2 Kappa Asta,Bangalore,2014,61325,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,8.1 Lakh,4.4
Renault KWID 1.0 RXT Optional AMT,Kochi,2017,53105,Petrol,Automatic,First,22.5 kmpl,999 CC,67 bhp,5,4.93 Lakh,4.41
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.8 Lakh,4.45
Maruti Wagon R VXI AMT,Mumbai,2018,1997,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,6.14 Lakh,4.45
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5,19.39 Lakh,4.5
Renault KWID 1.0 RXT Optional,Kochi,2018,18335,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.61 Lakh,4.5
Maruti Wagon R VXI,Jaipur,2017,39867,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.44 Lakh,4.5
Renault KWID Climber 1.0 AMT,Chennai,2018,14000,Petrol,Automatic,First,22.5 kmpl,999 CC,67 bhp,5,5.67 Lakh,4.5
Tata Zest Revotron 1.2T XE,Delhi,2017,47000,Petrol,Manual,Second,17.57 kmpl,1193 CC,88.7 bhp,5,6.62 Lakh,4.5
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.67 Lakh,4.5
Mahindra KUV 100 G80 K6 Plus 5Str,Kolkata,2017,43000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,7.35 Lakh,4.5
Honda Amaze S Petrol,Jaipur,2014,69000,Petrol,Manual,First,19.5 kmpl,1199 CC,88.76 bhp,5,7.52 Lakh,4.5
Maruti Dzire VXI,Pune,2013,74000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.67 Lakh,4.5
Maruti Swift VDI,Pune,2014,115000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,8.26 Lakh,4.5
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5,8.61 Lakh,4.5
Tata Zest Revotron 1.2T XM,Kochi,2015,39208,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,7.63 Lakh,4.52
Toyota Etios Liva 1.2 G,Coimbatore,2015,64005,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,6.41 Lakh,4.57
